# BJD     Detrended data    Detrended data errors,   Original data   Original data errors    Model applied 
2458939.3423804       1.0001250       0.0008411      1.0001372      0.0008411      1.0000122
2458939.5446390       1.0001340       0.0008410      1.0001463      0.0008410      1.0000122
2458939.7442349       1.0000460       0.0008411      1.0000582      0.0008411      1.0000122
2458939.9465583       0.9997695       0.0008409      0.9997818      0.0008409      1.0000122
2458940.1492492       1.0002301       0.0008410      1.0002424      0.0008410      1.0000122
2458940.3495885       1.0000946       0.0008410      1.0001069      0.0008410      1.0000122
2458940.5544839       0.9999232       0.0008408      0.9999355      0.0008408      1.0000122
2458940.7526753       0.9997915       0.0008409      0.9998038      0.0008410      1.0000122
2458946.2329467       1.0000073       0.0008796      1.0000196      0.0008796      1.0000122
2458946.3847899       0.9999382       0.0008668      0.9999504      0.0008668      1.0000122
2458946.5851756       1.0000928       0.0008628      1.0001051      0.0008628      1.0000122
2458946.7869029       1.0002019       0.0008625      1.0002142      0.0008625      1.0000122
2458946.9878989       1.0000871       0.0008610      1.0000994      0.0008610      1.0000122
2458947.1855193       0.9999307       0.0008584      0.9999430      0.0008584      1.0000122
2458947.3957582       0.9997660       0.0008566      0.9997782      0.0008566      1.0000122
2458947.5929206       0.9999115       0.0008565      0.9999238      0.0008565      1.0000122
2458947.7941023       0.9998925       0.0008562      0.9999048      0.0008562      1.0000122
2458947.9955667       0.9998498       0.0008557      0.9998621      0.0008557      1.0000122
2458948.1978350       0.9999249       0.0008542      0.9999371      0.0008542      1.0000122
2458948.3983475       0.9999537       0.0008532      0.9999660      0.0008532      1.0000122
2458948.5991394       0.9999910       0.0008523      1.0000032      0.0008524      1.0000122
2458948.8009618       0.9995253       0.0008523      0.9995375      0.0008523      1.0000122
2458949.0023471       1.0000062       0.0008525      1.0000185      0.0008525      1.0000122
2458949.2020304       1.0000459       0.0008510      1.0000582      0.0008511      1.0000122
2458949.4051175       0.9999323       0.0008512      0.9999445      0.0008512      1.0000122
2458949.6070234       0.9999695       0.0008499      0.9999818      0.0008499      1.0000122
2458949.8022019       1.0000940       0.0008497      1.0001062      0.0008497      1.0000122
2458950.0092725       1.0001563       0.0008500      1.0001686      0.0008500      1.0000122
2458950.2106574       0.9998383       0.0008487      0.9998506      0.0008487      1.0000122
2458950.4120423       1.0001648       0.0008488      1.0001770      0.0008488      1.0000122
2458950.6134270       1.0001360       0.0008475      1.0001483      0.0008475      1.0000122
2458950.8148117       1.0001542       0.0008470      1.0001664      0.0008471      1.0000122
2458951.0161963       1.0001200       0.0008468      1.0001322      0.0008468      1.0000122
2458951.2175808       1.0001010       0.0008452      1.0001133      0.0008452      1.0000122
2458951.4189653       1.0000842       0.0008446      1.0000964      0.0008446      1.0000122
2458951.6203497       0.9998626       0.0008427      0.9998749      0.0008427      1.0000122
2458951.8217340       1.0000000       0.0008417      1.0000122      0.0008417      1.0000122
2458952.0228948       1.0000621       0.0008404      1.0000743      0.0008404      1.0000122
2458952.2247820       0.9999642       0.0008401      0.9999764      0.0008401      1.0000122
2458952.4259153       1.0000247       0.0008401      1.0000369      0.0008401      1.0000122
2458952.6272704       1.0000000       0.0008401      1.0000123      0.0008401      1.0000122
2458952.8286542       1.0000086       0.0008400      1.0000208      0.0008400      1.0000122
2458953.0294111       0.9999017       0.0008400      0.9999140      0.0008400      1.0000122
2458953.2314217       0.9996087       0.0008399      0.9996209      0.0008399      1.0000122
2458953.4328052       0.9999746       0.0008400      0.9999869      0.0008400      1.0000122
2458953.6341887       1.0000747       0.0008399      1.0000869      0.0008399      1.0000122
2458953.8355720       1.0000756       0.0008400      1.0000879      0.0008400      1.0000122
2458954.0369551       1.0001902       0.0008399      1.0002024      0.0008399      1.0000122
2458954.2384644       0.9999931       0.0008397      1.0000053      0.0008397      1.0000122
2458954.4397209       1.0000935       0.0008399      1.0001058      0.0008400      1.0000122
2458954.6411035       0.9997220       0.0008396      0.9997342      0.0008396      1.0000122
2458954.8104007       1.0000651       0.0008397      1.0000774      0.0008397      1.0000122
