# BJD       ,   RV model,    model pl_1,    model pl_2,    GP model mu,   GP model var,   GP model std,   
2452154.15239, 512.06758,  22.17717, 489.89041,   1.87480,  80.52993,   8.97385
2452155.49757, 418.98579,  22.35230, 396.63348,   1.62867,  81.06420,   9.00357
2452156.84275, 326.03614,  22.52260, 303.51354,   1.38693,  81.53412,   9.02962
2452158.18793, 233.24066,  22.68809, 210.55257,   1.15016,  81.93588,   9.05184
2452159.53312, 140.62114,  22.84879, 117.77235,   0.91890,  82.26609,   9.07007
2452160.87830,  48.19913,  23.00472,  25.19440,   0.69369,  82.52177,   9.08415
2452162.22348, -44.00409,  23.15592, -67.16001,   0.47506,  82.70038,   9.09398
2452163.56867,-135.96748,  23.30241,-159.26989,   0.26353,  82.79985,   9.09944
2452164.91385,-227.67032,  23.44422,-251.11454,   0.05959,  82.81857,   9.10047
2452166.25903,-319.09218,  23.58137,-342.67355,  -0.13627,  82.75544,   9.09700
2452167.60421,-410.21294,  23.71389,-433.92682,  -0.32360,  82.60982,   9.08899
2452168.94940,-501.01278,  23.84181,-524.85459,  -0.50193,  82.38160,   9.07643
2452170.29458,-591.47225,  23.96516,-615.43741,  -0.67085,  82.07116,   9.05931
2452171.63976,-681.57222,  24.08396,-705.65619,  -0.82994,  81.67937,   9.03766
2452172.98494,-771.29393,  24.19826,-795.49219,  -0.97882,  81.20758,   9.01153
2452174.33013,-860.61898,  24.30806,-884.92704,  -1.11713,  80.65766,   8.98096
2452175.67531,-949.52933,  24.41341,-973.94273,  -1.24451,  80.03191,   8.94606
2452177.02049,-1038.00733,  24.51433,-1062.52166,  -1.36066,  79.33310,   8.90691
2452178.36567,-1126.03574,  24.61084,-1150.64658,  -1.46527,  78.56446,   8.86366
2452179.71086,-1213.59769,  24.70298,-1238.30068,  -1.55809,  77.72959,   8.81644
2452181.05604,-1300.67672,  24.79078,-1325.46751,  -1.63716,  76.85188,   8.76652
2452182.40122,-1387.25680,  24.87426,-1412.13106,  -1.69242,  76.04716,   8.72050
2452183.74640,-1473.32228,  24.95345,-1498.27572,  -1.73526,  75.18674,   8.67103
2452185.09159,-1558.85795,  25.02837,-1583.88632,  -1.76554,  74.27482,   8.61828
2452186.43677,-1643.84904,  25.09906,-1668.94810,  -1.78316,  73.31593,   8.56247
2452187.78195,-1728.28119,  25.16554,-1753.44673,  -1.78804,  72.31484,   8.50381
2452189.12714,-1812.14047,  25.22784,-1837.36830,  -1.78013,  71.27659,   8.44255
2452190.47232,-1895.41339,  25.28598,-1920.69937,  -1.75940,  70.20640,   8.37893
2452191.81750,-1978.08691,  25.33999,-2003.42691,  -1.72585,  69.10969,   8.31322
2452193.16268,-2060.14842,  25.38991,-2085.53833,  -1.67953,  67.99200,   8.24573
2452194.50787,-2141.58574,  25.43575,-2167.02150,  -1.62049,  66.85898,   8.17673
2452195.85305,-2222.38716,  25.47756,-2247.86472,  -1.54881,  65.71637,   8.10656
2452197.19823,-2302.54139,  25.51535,-2328.05673,  -1.46462,  64.56990,   8.03554
2452198.54341,-2382.03758,  25.54915,-2407.58673,  -1.36806,  63.42533,   7.96400
2452199.88860,-2460.86533,  25.57901,-2486.44435,  -1.25929,  62.28837,   7.89230
2452201.23378,-2539.01470,  25.60495,-2564.61966,  -1.13852,  61.16463,   7.82078
2452202.57896,-2616.47617,  25.62701,-2642.10318,  -1.00597,  60.05963,   7.74981
2452203.92414,-2693.24065,  25.64522,-2718.88587,  -0.86189,  58.97873,   7.67976
2452205.26933,-2769.29950,  25.65962,-2794.95912,  -0.70655,  57.92710,   7.61099
2452206.61451,-2844.64453,  25.67025,-2870.31478,  -0.54025,  56.90970,   7.54385
2452207.95969,-2919.26794,  25.67715,-2944.94509,  -0.36332,  55.93123,   7.47872
2452209.30487,-2993.16241,  25.68035,-3018.84276,  -0.17611,  54.99613,   7.41594
2452210.65006,-3066.32100,  25.67991,-3092.00091,   0.02103,  54.10851,   7.35585
2452211.99524,-3138.73722,  25.67585,-3164.41307,   0.22768,  53.27217,   7.29878
2452213.34042,-3210.40498,  25.66822,-3236.07321,   0.44345,  52.49053,   7.24504
2452214.68560,-3281.31862,  25.65705,-3306.97567,   0.66789,  51.76666,   7.19491
2452216.03079,-3351.47288,  25.64236,-3377.11523,   0.90056,  51.10321,   7.14865
2452217.37597,-3420.86289,  25.62416,-3446.48705,   1.14098,  50.50244,   7.10651
2452218.72115,-3489.48420,  25.60245,-3515.08665,   1.38868,  49.96616,   7.06867
2452220.06634,-3557.33273,  25.57721,-3582.90995,   1.64092,  49.52148,   7.03715
2452221.41152,-3624.40481,  25.54839,-3649.95320,   1.87340,  49.47057,   7.03353
2452222.75670,-3690.69713,  25.51588,-3716.21301,   2.08833,  49.81248,   7.05780
2452224.10188,-3756.20674,  25.47955,-3781.68629,   2.30861,  50.21567,   7.08630
2452225.44707,-3820.93108,  25.43917,-3846.37025,   2.53378,  50.67646,   7.11874
2452226.79225,-3884.86793,  25.39445,-3910.26238,   2.76338,  51.19082,   7.15478
2452228.13743,-3948.01540,  25.34499,-3973.36039,   2.99695,  51.75436,   7.19405
2452229.48261,-4010.37196,  25.29028,-4035.66223,   3.23400,  52.36245,   7.23619
2452230.82780,-4071.93637,  25.22963,-4097.16600,   3.47406,  53.01016,   7.28081
2452232.17298,-4132.70774,  25.16220,-4157.86994,   3.71661,  53.69237,   7.32751
2452233.51816,-4192.68544,  25.08695,-4217.77240,   3.96117,  54.40376,   7.37589
2452234.86334,-4251.86914,  25.00264,-4276.87179,   4.20722,  55.13890,   7.42556
2452236.20853,-4310.25878,  24.90778,-4335.16656,   4.45424,  55.89223,   7.47611
2452237.55371,-4367.85454,  24.80066,-4392.65520,   4.70173,  56.65815,   7.52716
2452238.89889,-4424.65685,  24.67935,-4449.33619,   4.94916,  57.43106,   7.57833
2452240.24407,-4480.66633,  24.54172,-4505.20805,   5.19600,  58.20535,   7.62924
2452241.58926,-4535.88384,  24.38551,-4560.26935,   5.44174,  58.97550,   7.67955
2452242.93444,-4590.31041,  24.20834,-4614.51875,   5.68585,  59.73607,   7.72891
2452244.27962,-4643.94723,  24.00784,-4667.95506,   5.92781,  60.48177,   7.77700
2452245.62480,-4696.79564,  23.78172,-4720.57736,   6.16710,  61.20749,   7.82352
2452246.96999,-4748.85715,  23.52786,-4772.38501,   6.40321,  61.90831,   7.86818
2452248.31517,-4800.13338,  23.24441,-4823.37779,   6.63562,  62.57956,   7.91072
2452249.66035,-4850.62607,  22.92985,-4873.55592,   6.86382,  63.21683,   7.95090
2452251.00554,-4900.33708,  22.58308,-4922.92016,   7.08731,  63.81603,   7.98849
2452252.35072,-4949.26838,  22.20341,-4971.47178,   7.30561,  64.37334,   8.02330
2452253.69590,-4997.42203,  21.79060,-5019.21262,   7.51822,  64.88533,   8.05514
