           4
 4.4980354662145316E-04
 0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 5.3964751269773711E-08  1.5442362590739233E-02  2.9573328934406082E-04
-6.2152392613622454E-01  0.0000000000000000E+00 -2.9327657500813947E-01
-2.7961623609289247E-04  0.0000000000000000E+00 -1.7361474985409069E-02
 3.5483054396321598E-07  6.8824462454102203E-02  5.5403493834232757E-04
 9.2455015049443834E-01  0.0000000000000000E+00  4.0254147048228206E-01
-9.3754105200573624E-03  0.0000000000000000E+00  1.9676272083754300E-02
 2.4384820840489590E-07  1.1072388799366475E-01  4.8891873220476489E-04
 1.6530044079772548E+00  0.0000000000000000E+00  9.7540604706165257E-01
-6.8498185827127831E-03  0.0000000000000000E+00  1.3931813091507147E-02
